127.0.0.1, 2018-05-16 20:53:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001307
127.0.0.1, 2018-05-16 20:53:27, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.145166
127.0.0.1, 2018-05-16 20:53:27, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001694
127.0.0.1, 2018-05-16 20:53:27, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 200, 0.003807
127.0.0.1, 2018-05-16 20:53:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001290
127.0.0.1, 2018-05-16 20:57:57, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.144207
127.0.0.1, 2018-05-16 20:57:57, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001745
127.0.0.1, 2018-05-16 20:57:57, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001507
127.0.0.1, 2018-05-16 20:57:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001352
127.0.0.1, 2018-05-16 21:03:21, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.143980
127.0.0.1, 2018-05-16 21:03:21, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001656
127.0.0.1, 2018-05-16 21:03:21, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2018-05-16 21:03:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2018-05-16 21:04:51, GET, /robots.txt, HTTP/1.1, 400, 0.001530
127.0.0.1, 2018-05-16 21:04:51, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.142964
127.0.0.1, 2018-05-16 21:04:51, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001671
127.0.0.1, 2018-05-16 21:04:51, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001531
127.0.0.1, 2018-05-16 21:04:51, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 200, 0.015599
127.0.0.1, 2018-05-16 21:04:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001536
127.0.0.1, 2018-05-16 21:04:53, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.147535
127.0.0.1, 2018-05-16 21:04:53, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001571
127.0.0.1, 2018-05-16 21:04:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001744
127.0.0.1, 2018-05-16 21:07:14, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.147953
127.0.0.1, 2018-05-16 21:07:14, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.002263
127.0.0.1, 2018-05-16 21:07:14, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.003922
127.0.0.1, 2018-05-16 21:07:14, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.002748
127.0.0.1, 2018-05-16 21:07:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001273
127.0.0.1, 2018-05-16 21:10:41, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.146459
127.0.0.1, 2018-05-16 21:10:41, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.000506
127.0.0.1, 2018-05-16 21:10:41, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001551
127.0.0.1, 2018-05-16 21:10:41, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001809
